id,name,description,icons,image_caption,organization,primary_contact,referral,street_address_1,street_address_2,city,state,zip,county,website,email,phone,latitude,longitude,Assessment and Diagnosis,Treatment and Therapies ,Treatment and Therapies ,Treatment and Therapies ,Physical and Mental Health ,Education and Technology ,Adulthood and Transition,Family Supports and Parent Training,Financial Assistance and Advocacy,National ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),Adulthood (23 - 64),Aging (65+)
50,River City ABA,"River City ABA provides ABA (Applied Behavior Analysis) in an in-home setting. In addition to therapy, River City ABA offers specialized help in family therapy, toilet training, and feeding assistance.",,,River City,,,10487 Lakeridge Parkway Suite 425,,Ashland,VA,23005,Hanover,https://rcaba.com/,info@rcaba.com,(804) 557-0881,37.6980944,-77.4547822,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,      Parent Training ,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),,,
51,Spectrum Transformation Group - Richmond,"Spectrum Transformation Group offers a variety of services for both children and adults. For children, they offer ABA (Applied Behavior Analysis), diagnostic assessments, and outpatient therapies as well as social skills program. For adults, they offer diagnostic assessments, outpatient therapies, and mental health resources.",,,Spectrum Transformation Group,,,221 Stonebridge Plaza Avenue,,North Chesterfield,VA,23225,Chesterfield ,https://spectrumtgrp.com/,,(804) 378-6141,37.498249,-77.5272083,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Social Skills Training,    Mental Health ,,,,,         Richmond ,,,,,
52,Spectrum Transformation Group - Harrisonburg,"Spectrum Transformation Group offers a variety of services for both children and adults. For children, they offer ABA (Applied Behavior Analysis), diagnostic assessments, and outpatient therapies as well as social skills program. For adults, they offer diagnostic assessments, outpatient therapies, and mental health resources.",,,Spectrum Transformation Group,Nicole Shriver,,1721 South High Street,,Harrisonburg,VA,22801,Rockingham,https://spectrumtgrp.com/,,(540) 908-2441,38.4342676,-78.901108,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Social Skills Training,    Mental Health ,,,,,         Harrisonburg ,,,,,
54,Youth and Family Services of Virginia,"Youth and Family Services of Virginia provides an ASSET program that uses ABA (Applied Behavior Analysis) to increase the adaptive functioning, behavioral skills, social skills and communication skills. It also has early intervention centers and parent training services. ",,,Youth and Family Services of Virginia,,,"300 Arboretum Place, Suite 515",,Richmond,VA,23236,,https://www.asset.yfsva.com/,,(804) 887-2990,37.4930424,-77.5657114,,    Applied Behavior Analysis,,,,,,      Parent Training ,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
56,May Center for ABA Services ,"The May Center for ABA services offers ABA (Applied Behavior Analysis) for children and adolescents with Autism and other developmental disabilities. The Center provides home-based services and school-based services to provide ABA training and consultation services to administrators, teachers, and students to increase expertise and enhance student outcomes. ",,,May Institute,,,"1516 Willow Lawn Drive, Suite 203",,Richmond,VA,23230,,https://www.mayinstitute.org/locations/location.html?id=1081&state=VA,,(804) 269-4732,37.5818623,-77.5002643,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
57,"ABA VA, LLC (ABA Therapy) - Culpeper","ABA VA LLC provides a wide variety of in-home ABA (Applied Behavior Analysis) services—verbal behavior programming, discrete trial training, social skills training, natural environment training, functional behavior assessments, behavior intervention plans, parent training.These services are available for children from birth to early adulthood. ",,,,"Michelle Winsor, M.S., BCBA, LBA ",,,In-home Therapy,Culpeper,VA,22701,,http://www.abavallc.com/,michelle.winsor@ababehavioralgroup.com,(540) 317-0460,38.4729632,-77.9962512,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Culpeper/Madison ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
59,Compass Counseling - Culpeper,"The Compass in Culpeper, VA offers ABA (Applied Behavior Analysis) and psychological testing. The program focuses to improve adaptive behaviors, train and support families, and coordinate with other service providers.",,,Compass Counseling ,,,219 E Davis St #330,,Culpeper,VA,22701,Culpeper,https://compassva.com/,,(540) 212-9222,38.4726808,-77.9942511,     Psychological Testing ,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Culpeper/Madison ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
60,Empower Behavioral Services,"Empower Behavioral Services provides ABA (Applied Behavior Analysis) for children with Autism Spectrum Disorder. After an initial assessment, children receive ongoing 1:1 therapy sessions and their parents and families undergo special training on how to implement ABA with their child. They also provide social skills training and school consultations",,,Empower Behavioral Services,,,"11905 Bowman Drive, Suite 507",,Fredericksburg,VA,22408,Spotsylvania,https://www.empowerbehavioral.com/,info@empowerbehavioral.com,(540) 395-9962,38.283328,-77.4522485,     Psychological Testing ,    Applied Behavior Analysis,    Social Skills Training,,,,,      Parent Training ,,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
61,Paragon Autism Services,"Paragon Autism Services provides direct one-on-one ABA (Applied Behavior Analysis) therapy to individuals diagnosed on the autism spectrum ranging in ages from 2 - 21 in the home and community settings. In addition, families are provided with bi-weekly training sessions, monthly collaboration with other service providers to include school personnel and educational advocacy as needed.",,,Paragon Autism Services,,,"904 Princess Anne Street, Suite 407",,Fredericksburg,VA,22401,Spotsylvania,http://paragonautismservices.com/,info@paragonautismservices.com,(540) 479-3889,38.3026475,-77.4605615,,    Applied Behavior Analysis,    Early Intervention,,,,,      Parent Training ,,         Fredericksburg and Northern Neck         ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
62,Blue Ridge Autism and Achievement Center (BRAAC) - Roanoke,"Blue Ridge Autism and Achievement Center offers ABA (Applied Behavior Analysis) for children with autism and other developmental disabilities. They offer a variety of programs including an intensive 1:1 program, summer program, tutoring program, preschool program, and adolescent program.",,,Blue Ridge Autism and Achievement Center,,,312 Whitwell Drive ,,Roanoke,VA,24019,Rockbridge,http://braacroanoke.org/,,(540) 366-7399,37.3434109,-79.9718544,,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,     School,,      Parent Training ,,         Roanoke/New River Valley,,,,,
63,Blue Ridge Autism and Achievement Center (BRAAC) - Lexington,"Blue Ridge Autism and Achievement Center offers ABA (Applied Behavior Analysis) for children with autism and other developmental disabilities. They offer a variety of programs including an intensive 1:1 program, summer program, tutoring program, preschool program, and adolescent program.",,,Blue Ridge Autism and Achievement Center,,,40 Park Place,,Lexington,VA,24450,Rockbridge,http://braacroanoke.org/,,(540) 366-8320,37.824974,-79.3848616,,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,     School,,      Parent Training ,,         Waynesboro/Staunton/Lexington ,,,,,
64,Blue Ridge Autism and Achievement Center (BRAAC) - Lynchburg,"Blue Ridge Autism and Achievement Center offers ABA (Applied Behavior Analysis) for children with autism and other developmental disabilities. They offer a variety of programs including an intensive 1:1 program, summer program, tutoring program, preschool program, and adolescent program.",,,Blue Ridge Autism and Achievement Center,,,150 Linden Ave,,Lynchburg,VA,24503,Rockbridge,http://braacroanoke.org/,,(540) 366-4790,37.4470109,-79.1937143,,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,     School,,      Parent Training ,,         Lynchburg ,,,,,
65,Centra Autism In-Home Services - Alleghany,"The Centra Autism and Development Center offers in-home ABA (Applied Behavior Analysis) Therapy. Centra's in-home services provide ABA therapy in conjunction with person-centered treatment to reduce maladaptive behaviors and teach adaptive communication and social skills, for clients up to age 21. ",,,Centra Autism & Developmental Services,Melinda Hemp-Gardzinski,,,In-home Therapy,Alleghany,VA,24426,Dinwiddie,https://www.centrahealth.com/services/home-services,,(434) 485-2890,37.7690826,-80.0534923,,    Applied Behavior Analysis,    Early Intervention,,,,,,,         Waynesboro/Staunton/Lexington ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
69,Centra Autism & Developmental Services,"The Centra Autism and Development Center offers a wide range of services—testing and diagnosis, therapies, school, and in-home including ABA (Applied Behavior Analysis) Therapy. Centra's Autism and Developmental Center provides comprehensive & individualized treatment plans that help patients make developmental improvements in key functioning areas. ",,,Centra Autism & Developmental Services,,,693 Leesville Road,,Lynchburg,VA,24502,Dinwiddie,https://www.centrahealth.com/AutismServices,,(434) 485-4763,37.3433531,-79.2056258,     Pediatrics ,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,,,,,         Lynchburg ,,,,,
70,Compass Counseling - Lynchburg,"The Compass in Lynchburg, VA offers ABA (Applied Behavior Analysis) and psychological testing. The program focuses to improve adaptive behaviors, train and support families, and coordinate with other service providers.",,,Compass Counseling ,,,118 Cornerstone Street ,,Lynchburg,VA,24502,Culpeper,https://compassva.com/,,(540) 212-9222,37.3402669,-79.2244939,     Psychological Testing ,    Applied Behavior Analysis,    Early Intervention,,,,,,,         Lynchburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
71,Family Insight - Lynchburg,"The Family Insight in Lynchburg offers community-based counseling services in the southwest region of Virginia. Along with Licensed Mental Health Professionals who provide mental health services, a staff of board-certified registered behavior technicians supervised by BCBAs, and BCaBAs provide ABA (Applied Behavior Analysis ) Therapy for children with autism.  ",https://www.google.com/search?q=family+insight+lynchburg&safe=active&rlz=1CAWAFN_enKR709KR717&source=lnms&tbm=isch&sa=X&ved=0ahUKEwib8OyU3ITgAhXnYt8KHbK0BQMQ_AUIDygC&biw=1366&bih=667#imgrc=hr0cN-qMPWVMYM:,Famly insight Logo ,The family insight , Site Director:  Nina Dillion,,1933 Thomson Drive,,Lynchburg,VA,24501,City of Lynchburg,https://familyinsight.net/location/lynchburg-va/,,(434) 616-6762,37.4180572,-79.1756414,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Lynchburg ,,,,,
72,Madeline Centre - Lynchburg,"The Madeline Center provides clinic, school, and home-based services. The Madeline Center provides ABA (Applied Behavior Analysis) Therapy programs for children and adolescents with Autism in a home, school, and clinical settings. The Madeline Centre also runs ARTS (Addiction and Recovery Treatment Services) in continuation of 20 years of addiction counseling services. ",https://goo.gl/images/Hjq6t5,Madeline Logo,Madeline Center,,,18697 Forest Rd ,,Lynchburg,VA,24502,City of Lynchburg,http://www.madelinecentre.com/,,(434) 239-0003,37.3848775,-79.2413044,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Lynchburg ,,,,,
73,Horizon Wellness Center at Court Street ,"Case Management and Medicaid Waiver Screening: Waivers are administered by the state to deliver and pay for health care services by Medicaid and the Children’s Health Insurance Program (CHIP). Often times, because of the complexity of the state funding, a professional will be required to manage it. Horizon’s case managers meet with clients to make sure they are satisfied with the services they are receiving and to assess the need for additional services at Horizon and in the community.",https://www.google.com/search?q=Horizon+Wellness+Center+at+Court+Street+at+court+street&safe=active&rlz=1CAWAFN_enUS835&source=lnms&tbm=isch&sa=X&ved=0ahUKEwjPkvewmLTgAhWw1lkKHerAAsQQ_AUIDygC#,Horizon Logo,Horizon Wellness Center at Court Street ,,,620 Court St,,Lynchburg,VA,24503,City of Lynchburg,https://www.horizonbh.org/contact-us/find-a-location/,,(434) 847-8035,37.4157132,-79.1454416,,,,,,,,,            Obtaining a Waiver,         Lynchburg ,,,,,
74,Chrysalis Counseling,"Chrysalis Counseling offers a variety of psychological evaluations and assessments along with both individual and group therapies for children, adolescents, and adults. In addition, they provide speciality services such as child-centered play therapy, family therapy, parenting consultations and many more. These services are offered in both a center-based and in-home setting.",,,Chrysalis Counseling,,,605 N Main St,,Culpeper,VA,22701,,https://www.chrysaliscenters.com/,,(540) 727-0770,38.4767482,-77.9944295,     Psychological Testing ,    Counseling,,,    Mental Health ,,,,,         Culpeper/Madison ,,,,,
75,Empowering Families Program ,"Empowering Families Program provides psychotherapy to children, adolescents, adults, families, parents, and couples with emotional issues. The services are in both group and individual settings to those struggling with ADHD, depression, anxiety, autism, obsessive-compulsive disorder, and many other psychological diagnosis.",,,"Daniel L. Price, PhD","Daniel Price, PhD, psychologist",,206 S East St,,Culpeper,VA ,22701,,https://www.empoweringfamiliesprogram.com/,,(540) 829-6685,38.4720935,-77.9950317,,    Counseling,,,    Mental Health ,,,,,         Culpeper/Madison ,,,,,
76,Culpeper County Public Schools,"Culpeper County Public Schools offer individualized education plan (IEP) for students with Autism providing the most appropriate form of special needs appropriate based on their individualized needs This may be in a general education setting or in a self-contained classroom. In addition, the county public school offers a variety of evidence-based practices including ABA (Applied Behavior Analysis), social skills instruction and other therapies if necessary. ",,,Culpeper County Public Schools,,,450 Radio Lane,,Culpeper,VA,22701,,https://www.culpeperschools.org/departments__programs/special_education/autism_program_information,,(540) 825-3677,38.486318,-77.992117,,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,     School,,,,         Culpeper/Madison ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
77,National Counseling Group,"National Counseling Group provides a variety of child and family services, school services, adult supports, and parent partnership services. They offer these services in both an intensive in home setting or an outpatient setting.",,,National Counseling Group,,,13230 Lovers Lane,,Culpeper,VA,22701,,https://www.ncgcommunity.com/,,(540) 825-0705,38.4447463,-78.0047069,,    Counseling,,,,,,,,         Culpeper/Madison ,,,,,
78,Counseling Interventions,"Counseling Interventions offers a variety of therapy programs addressing mental health issues including anxiety, depression, bipolar disorders, and many more. They offer these services in a variety of settings such as individual therapy, family therapy, cognitive behavior therapy (CBT), group therapy, or couples therapy. Counseling Interventions accepts Medicaid and self-pay. ",,,Counseling Interventions,,,23248 Lignum Rd,,Lignum,VA,22726,,,,(540) 399-9970,38.4179084,-77.8311701,,          Cognitive Behavioral Therapy ,    Counseling,,    Mental Health ,,,,,         Culpeper/Madison ,,,,,
79,Rappahannock Rapidan Community Services Board,"Rappahannock Rapidan Community Services Board serves Culpeper, Fauquier, Madison, Orange, and Rappahannock counties by providing comprehensive behavioral health, developmental disability, substance use disorder, and aging services. Specifically, they offer support services such as medical, psychiatric, social, educational, employment, and advocacy needs for children with developmental disabilities.",,,Rappahannock Rapidan Community Services Board,,,15361 Bradford Road,,Culpeper,VA,22701,,https://www.rrcsb.org/,,(540) 825-3100,38.4870612,-77.967396,,    Early Intervention,    Counseling,,    Mental Health ,,,      Support Groups,      Advocacy,         Culpeper/Madison ,,,,,
82,Compass Counseling - Rockbridge,"The Compass in Rockbridge, VA offers ABA (Applied Behavior Analysis) and psychological testing. The program focuses to improve adaptive behaviors, train and support families, and coordinate with other service providers.",,,Compass Counseling,,,424 Magnolia Avenue,,Buena Vista,VA,22416,Rockbridge,https://compassva.com/location/rockbridge/,,(540) 462-2914,37.7184517,-79.3646121,     Psychological Testing ,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Waynesboro/Staunton/Lexington ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
85,Central Virginia Autism Action Group (CVAAG),Central Virginia Autism Action Group (CVAAG) meets monthly in order to provide family support workshops followed by a Family Networking and Discussion. The mission of the group is to provide leadership in the implementation of services and resources to maximize quality of life of individuals with autism.,,,CA,Jennifer Keller,,1501 Lakeside Drive Room 231,,Lynchburg,VA,24501,,https://cahumanservices.org/events-calendar/cvaag-central-virginia-autism-action-group/,cva.autismactiongroup@gmail.com,(434) 851-0955,37.4006002,-79.183153,,,,,,,,Family Supports and Parent Training,      Advocacy,         Lynchburg ,,,,,
87,Rivermont Autism Program (RAP),"Rivermont Autism Program (RAP) provides academic and behavioral services focusing on family-centered, evidence-based treatments such as ABA (Applied Behavioral Analysis) for children and adolescents with Autism. The individualized programs focus on communication, academics, life skills, vocational skills, and social skills. Most of the Rivermont Autism Programs are housed in Rivermont Schools. ",,,Centra,Crystal Collette,,3024 Forest Hills Circle,,Lynchburg,VA,24501,,https://www.centrahealth.com/facilities/rivermont-autism-program-lynchburg,cystal.collette@centralhealth.com,(434) 363-5306,37.41716,-79.2055039,,    Applied Behavior Analysis,    Speech and Communication,    Counseling,    Mental Health ,     School,      Post Secondary Education ,,,         Lynchburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
90,Zach Speaks Inc,Zach Speaks Inc. provides funding for families who could not otherwise afford therapies. They offer financial help for 3 months of speech or occupational therapy for individuals diagnosed with autism between the ages of 3 and 18.  ,,,Zach Speaks Inc,,,P.O. Box 12037,,Lynchburg,VA,24506,,http://zachspeaksinc.org/,zachspeaksinc@gmail.com,(434) 846-2581,37.3805631,-79.1617513,,    Occupational Therapy ,    Speech and Communication,,,,,,Financial Assistance and Advocacy,         Lynchburg ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
91,ABC Behavior - Front Royal,"ABC Behavior - Front Royal serves Warren and Fauquier County to provide ABA (Applied Behavior Analysis) in home and school settings for individuals with developmental disabilities after using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,ABC Behavior,Rachel Paugh,,,In-home Therapy,Front Royal,VA,22630,,http://www.abcbehavior.org/front-royal-office,rachel.paugh@abcbehavior.org,(571) 393-0202,38.9181671,-78.1944446,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Winchester/Front Royal ,,,,,
92,Family Insight - Winchester,"The Family Insight in Winchester offers community-based counseling services in the southwest region of Virginia. Along with Licensed Mental Health Professionals who provide mental health services, a staff of board-certified registered behavior technicians supervised by BCBAs, and BCaBAs provide ABA (Applied Behavior Analysis )Therapy for children with autism. They provide intensive in-home and mental health support programs, as well as outpatient and psychiatric services.",,,,,,312 S. Cameron St. Suite B,,Winchester,VA,22601,,https://familyinsight.net/location/winchester-va/,peter.doyle@familyinsight.net,(540) 486-4653,39.1804843,-78.1651497,,    Applied Behavior Analysis,    Counseling,,    Mental Health ,,,,,         Winchester/Front Royal ,,,,,
93,Mountainside Behavioral Analysis Services,Mountainside Behavioral Analysis Services is an ABA (Applied Behavior Analysis) provider for children with autism and related disabilities.They offer in-home ABA therapy around Winchester and surrounding areas.,,,Mountain State ABA,,,,In-home Therapy,Winchester,VA,22601,Randolph ,https://www.mountainsideaba.com/,,(304) 801-3258,39.1856597,-78.1633341,,    Applied Behavior Analysis,,,    Mental Health ,,,,,         Winchester/Front Royal ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
95,Family Preservation,"Family Preservation is an ABA provider in Winchester, VA for children, adolescents, adults, and families in the community. They provide in-home and outpatient care, addiction recovery, and family support services to lower the risk of separating the child from the family as well as lessening the effects of trauma. ",,,Crossroads Counseling,Alexia Rosen,,3363 Shawnee Drive,,Winchester,VA,22602,Frederick,http://www.pathways.com/,arosen@fpscorp.com,(540) 535-0043,39.1394973,-78.190152,,    Applied Behavior Analysis,    Counseling,          Cognitive Behavioral Therapy ,,,,,,         Winchester/Front Royal ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
96,ABC Behavior - Warrenton,ABC Behavior Warrenton provides ABA (Applied Behavior Analysis) for individuals with developmental disabilities from afe 18 months to 18 years old. ,,,ABC Behavior,Stephanie Maddox,,,In-home Therapy,Warrenton,VA,20155,,http://www.abcbehavior.org/stephanie-maddox,slmaddox@abcbehavior.org,(571) 212-6627,38.7134516,-77.7952712,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Culpeper/Madison ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
97,ABC Behavior - Aldie,"ABC Behavior in Aldie, VA provides ABA (Applied Behavior Analysis) in home, residential and school settings for individuals with developmental disabilities after using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,Mountainside Behavioral Analysis Services,Maureen Gamache,,,In-home Therapy,Aldie,VA,20105,,http://www.abcbehavior.org/maureen-gamache,maureen.gamache@abcbehavior.org,(424) 302-3643,38.9756745,-77.6418724,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,,,,,
98,ABC Behavior - Gainesville,"ABC Behavior in Gainesville, VA provides ABA (Applied Behavior Analysis) in home, residential and school settings for individuals with developmental disabilities from age 18 months to 18 years old, using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,ABC Behavior,Rebecca Gonzales,,,In-home Therapy,Gainesville,VA,20155,,http://www.abcbehavior.org/gainesville-office,rebecca.gonzales@abcbehavior.org,(571) 319-1187,38.7956706,-77.6138802,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
99,ABC Behavior - Manassas,"ABC Behavior in Manassas, VA provides ABA (Applied Behavior Analysis) in home, residential and school settings for individuals with developmental disabilities after using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,ABC Behavior,Lisa Liguori,,,In-home Therapy,Manassas,VA,20110,,http://www.abcbehavior.org/joseph-clem,lisa.liguori@abcbehavior.org,(323) 313-7659,38.7657182,-77.4811474,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
100,Achieve Beyond - Woodbridge,"Achieve Beyond is an ABA (Applied Behavior Analysis)  provider in Woodbridge, VA. They offer initial screenings, parent or school consultations, and comprehensive evaluations services to infants and children with special needs and/or developmental disabilities/delays or children who might just need some extra assistance.",,,,,,"11200 Waples Mill Rd, Suite 100",,Woodbridge,VA,22030,,https://www.achievebeyondusa.com/,metrodc@achievebeyondusa.com,(571) 402-7550,38.8592114,-77.3333629,,    Applied Behavior Analysis,    Speech and Communication,    Occupational Therapy ,,     Support Plans,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
101,Behavior Innovations - Woodbridge,"Global Behavioral Therapy Associates is an ABA provider located in Woodbridge, VA. They provide in-home, clinic-based, and consultation services to children ages 2-21 with Autism Spectrum Disorders, Behavioral Disorders, Intellectual Disorders, and Developmental Disabilities.",,,,,,1936 Opitz Blvd.,,Woodbridge,VA,22191,,http://www.abatherapy.me/,info@abatherapy.me,(540) 755-2937,38.6352357,-77.2734477,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
102,Autism Learning Center,"ABC Behavior in Falls Church, VA provides ABA (Applied Behavior Analysis) in home, residential and school settings for individuals with developmental disabilities after using personal interviews, functional behavior assessments, VB MAPP, PEAK or ABLLS to set up a behavior treatment plan. The behavior treatment plan may include behavior management, communication skills, transitioning skills, social and life skills, or assistance with fine/gross motor skills.",,,ABC Behavior,,,7600 Leesburg Pike #410,,Falls Church,VA,22043,Fairfax,http://autismlearningcenter.org/,,(703) 506-1930,38.9081173,-77.2076813,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
103,Behavior Basics,"Behavior Basics is an ABA provider in Alexandria VA for individuals with Autism Spectrum Disorders, as well as other mental illness such as depression, anxiety, or eating disorders. They implement an action plan for the individual to focus on different aspects of life, including mental health, physical health, and occupational skills. ",,,NOVA ABA,,,6180 Grovedale Ct #200,,Alexandria,VA,22310,Alexandria City,http://www.behaviorbasicsllc.com/,,(866) 380-3419,38.7797928,-77.150153,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
104,Behavioral Directions,"Behavioral Directions is an ABA provider in Northern VA for individuals with Autism Spectrum Disorders, Attention Deficit Hyperactivity Disorder (ADHD), Problem Behaviors and related Developmental Disabilities. They provide behavioral assessments, treatment plans, and intervention services in the clinic, home, school and community settings.  ",,,Leap Ahead,,,"46090 Lake Center Plaza, Suite 101",,Sterling,VA,20165,Loudoun County,https://www.behavioraldirections.com/,,(703) 855-4032,39.0337984,-77.4055133,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,          IEP ,,      Parent Training ,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
105,Behaviors for Life,"Behaviors for Life is an ABA provider in Fairfax, VA for children with Autism Spectrum Disorder and other related disorders. ",,,Behavior Basics:,,,3705 Bevan Dr,,Fairfax,VA,22030,Fairfax,,,(703) 400-3035,38.8605474,-77.325196,,    Applied Behavior Analysis,    Early Intervention,,    Developmental Delays,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
106,Center for Autism Related Disorders (CARD) - Alexandria East,"Center for Autism and Related Disorders (CARD), located in East Arlington, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,318 Montgomery St.,,Alexandria,VA,22314,,https://www.centerforautism.com/locations/?search=22314,,(818) 345-2345,38.8135236,-77.0414073,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
107,Center for Autism Related Disorders (CARD) - Alexandria West,"Center for Autism and Related Disorders (CARD), located in West Arlington, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,5400 Shawnee Rd,#208,Alexandria ,VA,22312,,https://www.centerforautism.com/locations/?search=22312,,(703) 750-0633,38.8057742,-77.1677037,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Northern Virginia,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
108,Center for Autism Related Disorders (CARD) - Richmond,"Center for Autism and Related Disorders (CARD), located in Richmond, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,7110 Forest Ave. ,#101,Richmond,VA,23226,,https://www.centerforautism.com/locations/?search=23226,,(804) 655-6301,37.6046559,-77.5283919,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Richmond ,Pre-K (0 - 5 years),School age (6 - 13 years),Transition age (14 - 22 years),,
109,Center for Autism Related Disorders (CARD) - Arlington,"Center for Autism and Related Disorders (CARD), located in Arlington, VA, provides a range of services, including diagnosis, assessment, and ABA (Applied Behavior Analysis), in both center-based and remote clinical settings. In addition, CARD also offers marriage and family counseling as well as CARD academy, a place where children can learn and play in a safe environment.",,,,,,4141 N Henderson Rd,#8,Arlington,VA,22203,,https://www.centerforautism.com/locations/?search=22203,,(571) 777-9210,38.8758591,-77.1094582,     Psychological Testing ,    Applied Behavior Analysis,    Counseling,    Early Intervention,    Mental Health ,,,,,         Northern Virginia,,,,,
